param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.005307761020958424,0.0011958375794954147,0.0024229970905805826,0.002884763930377841,0.007730758111539006,7.868441825594922e-05
p2,0.09955998510122299,0.10964216488958457,0.22215612812947108,-0.12259614302824809,0.32171611323069405,0.36973128203014294
p3,0.0019927993416786194,0.0024768555563610775,0.005018586060310587,-0.0030257867186319672,0.007011385401989206,0.4262086333081162
p4,0.17661648988723755,0.19049973018003066,0.3859891174998571,-0.20937262761261954,0.5626056073870946,0.3598717452533595
p6,0.10924289375543594,0.07941374807076453,0.16090753780187556,-0.05166464404643961,0.2701504315573115,0.1772114714001787
p8,0.05436016246676445,0.03987446271360264,0.08079333581763691,-0.02643317335087246,0.13515349828440137,0.18103208907579138
p9,0.00015187266399152577,0.010003292196467367,0.020268595253960082,-0.020116722589968557,0.020420467917951608,0.9879683409197513
w0 (estimated),0.013857787474989891,,,,,
x0 (fixed),6.0969038009643555,,,,,
y0 (fixed),78.09254455566406,,,,,
z0 (fixed),0.8276510834693909,,,,,
W0 (fixed),0.0,,,,,
