param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.025627072900533676,0.0014197390906364087,0.0028766646449152927,0.022750408255618384,0.02850373754544897,6.228695084719992e-20
p2,0.0006164705264382064,0.04846271077413329,0.09819477930850848,-0.09757830878207027,0.09881124983494669,0.9899191168113657
p3,0.007756901439279318,0.0023106542128430055,0.004681830150728957,0.003075071288550361,0.012438731590008275,0.0018340938843954152
p4,0.38731276988983154,0.08435595260539336,0.1709213953806888,0.21639137450914275,0.5582341652705203,4.946182233564277e-05
p6,0.21093089878559113,0.024875858101058402,0.050403276195746145,0.160527622589845,0.26133417498133726,3.3594316938273346e-10
p8,0.10867869853973389,0.013267962792122587,0.026883446209149443,0.08179525233058445,0.13556214474888334,7.829325190853756e-10
p9,0.009832695126533508,0.0026536151754571456,0.005376735068290936,0.004455960058242572,0.015209430194824444,0.0006868204869307946
w0 (estimated),0.03141075745224953,,,,,
x0 (fixed),3.0825417041778564,,,,,
y0 (fixed),16.7020320892334,,,,,
z0 (fixed),0.11563242971897125,,,,,
W0 (fixed),0.0,,,,,
