param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.009444632567465305,0.0013056566111181763,0.0026455115847517775,0.006799120982713527,0.012090144152217083,1.3873077397947832e-08
p2,0.04502011463046074,0.09367343337181284,0.18980040468402662,-0.14478029005356588,0.23482051931448736,0.633625448913728
p3,0.0033449260517954826,0.0032988567969787588,0.006684118778650709,-0.0033391927268552266,0.010029044830446192,0.31718438059003917
p4,0.35077089071273804,0.20234385731366616,0.4099875986291879,-0.05921670791644984,0.7607584893419259,0.09132721871873063
p6,0.12934519350528717,0.046123286931617866,0.09345465635097314,0.035890537154314034,0.2227998498562603,0.00798583026389765
p8,0.07099603116512299,0.025752340849794983,0.052179198935211245,0.01881683222991174,0.12317523010033424,0.009008317315757486
p9,0.00011026342690456659,0.006042492675548047,0.01224325311710405,-0.012132989690199483,0.012353516544008616,0.9855390576049796
w0 (estimated),0.0263363104313612,,,,,
x0 (fixed),5.6045308113098145,,,,,
y0 (fixed),41.20490264892578,,,,,
z0 (fixed),0.06092072278261185,,,,,
W0 (fixed),0.0,,,,,
