param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.010221078060567379,0.0010298408679604424,0.0020866558047808047,0.008134422255786575,0.012307733865348183,5.632351176544065e-12
p2,0.07508518546819687,0.06848514026430669,0.1387640750330296,-0.06367888956483272,0.21384926050122646,0.2800009062342842
p3,0.003238443285226822,0.0024151524236347846,0.004893563637835287,-0.0016551203526084654,0.00813200692306211,0.18813198979085205
p4,0.17232079803943634,0.08655307150248047,0.1753731811303455,-0.003052383090909161,0.34769397916978184,0.05391255668588023
p6,0.13574960827827454,0.04123238733700494,0.0835447524549363,0.05220485582333824,0.21929436073321085,0.0021918181962267457
p8,0.06772257387638092,0.021020880545417828,0.04259234972736083,0.025130224149020088,0.11031492360374176,0.002657878932245686
p9,0.00023868140124250203,0.005134350865116867,0.010403183025446783,-0.010164501624204281,0.010641864426689285,0.9631719768140277
w0 (estimated),0.01609210856258869,,,,,
x0 (fixed),4.547883987426758,,,,,
y0 (fixed),42.4019660949707,,,,,
z0 (fixed),0.042393412441015244,,,,,
W0 (fixed),0.0,,,,,
