param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.017841415479779243,0.0018479900517275535,0.003744383514563143,0.014097031965216101,0.021585798994342386,1.185853017820209e-11
p2,0.07447672635316849,0.0855814144290952,0.17340441689160335,-0.09892769053843486,0.24788114324477184,0.3897780885670723
p3,0.007815387099981308,0.004290068632221263,0.008692504728484323,-0.0008771176285030154,0.016507891828465633,0.07658656849803147
p4,0.22631946206092834,0.0901037562868351,0.182567551878997,0.043751910181931336,0.4088870139399253,0.016505622846341224
p6,0.15561474859714508,0.03856437367767932,0.07813884328715201,0.07747590530999307,0.2337535918842971,0.0002628469755091262
p8,0.07437987625598907,0.019036524788778396,0.03857166304928959,0.03580821320669948,0.11295153930527867,0.0003827606556561192
p9,0.006082968786358833,0.004893517420518247,0.00991520811515572,-0.0038322393287968867,0.015998176901514553,0.2216629564291937
w0 (estimated),0.031282130628824234,,,,,
x0 (fixed),3.88151216506958,,,,,
y0 (fixed),24.68014144897461,,,,,
z0 (fixed),0.508366584777832,,,,,
W0 (fixed),0.0,,,,,
