param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.005122669041156769,0.0019612309346028357,0.003973831337951802,0.0011488377032049671,0.009096500379108571,0.012930914332379945
p2,0.09963780641555786,0.1947071964182224,0.3945142538801306,-0.29487644746457276,0.4941520602956885,0.6118797625698654
p3,0.0019002530025318265,0.004524232840253323,0.009166966481910063,-0.007266713479378236,0.011067219484441889,0.6769024553465761
p4,0.5387911200523376,0.7232865466828866,1.4655177494992169,-0.9267266294468792,2.0043088695515543,0.4610254084283162
p6,0.10148313641548157,0.10013182541849211,0.2028863499722953,-0.10140321355681373,0.30436948638777683,0.3174056659538275
p8,0.05205710604786873,0.0518099878125179,0.10497700681535378,-0.052919900767485054,0.1570341128632225,0.3215338905571435
p9,5.9347683418309316e-05,0.017245895830870526,0.034943504150695,-0.03488415646727669,0.03500285183411331,0.9972727614398609
w0 (estimated),0.022788597270846367,,,,,
x0 (fixed),7.242109298706055,,,,,
y0 (fixed),68.10994720458984,,,,,
z0 (fixed),0.01321801170706749,,,,,
W0 (fixed),0.0,,,,,
