param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.01924506574869156,0.0019181288956406218,0.003886498311465377,0.015358567437226182,0.023131564060156935,4.190865905224932e-12
p2,0.09684892743825912,0.08469557398504722,0.17160953366042697,-0.07476060622216785,0.2684584610986861,0.26017804324798466
p3,0.007489000912755728,0.0041674999709167765,0.008444157030745605,-0.000955156117989877,0.015933157943501332,0.08050221347854791
p4,0.19465087354183197,0.07782519460198793,0.15768882273632168,0.036962050805510294,0.35233969627815365,0.01693389743358223
p6,0.1551111340522766,0.04005459936983832,0.08115832735281692,0.0739528066994597,0.23626946140509353,0.00042357854770172753
p8,0.07993347197771072,0.02134447983037721,0.043248024159587145,0.03668544781812358,0.12318149613729787,0.0006130160984782608
p9,0.01029109861701727,0.0055245997002116385,0.011193902273821698,-0.0009028036568044292,0.02148500089083897,0.07044770849594233
w0 (estimated),0.022678297013044357,,,,,
x0 (fixed),3.6852974891662598,,,,,
y0 (fixed),23.26363182067871,,,,,
z0 (fixed),0.1326395869255066,,,,,
W0 (fixed),0.0,,,,,
