param,estimate,SE,MOE_95,CI_low,CI_high,p_value
p1,0.008819685317575932,0.001794234554861175,0.0036354645319661015,0.0051842207856098305,0.012455149849542033,1.8305792265636524e-05
p2,0.0998309776186943,0.13131459994789293,0.2660686527001033,-0.16623767508140902,0.36589963031879763,0.45192695462678467
p3,0.0020230254158377647,0.00265299950900202,0.00537548760955982,-0.0033524621937220554,0.007398513025397585,0.4505704122861317
p4,0.25632378458976746,0.12935368872638267,0.26209546916241006,-0.005771684572642599,0.5184192537521775,0.054993883094659086
p6,0.16520102322101593,0.05969545044157768,0.12095447176185241,0.04424655145916352,0.28615549498286835,0.008771681083370775
p8,0.0848345011472702,0.031176881881266213,0.0631703630885704,0.02166413805869981,0.14800486423584058,0.009858871953866567
p9,0.00017609717906452715,0.005373240142194203,0.010887218678159354,-0.010711121499094827,0.011063315857223881,0.9740317725567783
w0 (estimated),0.049968402832746506,,,,,
x0 (fixed),6.101893901824951,,,,,
y0 (fixed),40.325279235839844,,,,,
z0 (fixed),0.1568724364042282,,,,,
W0 (fixed),0.0,,,,,
