strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E1,p1,0.0245880533977006,0.00150883986074436,0.00305719995375811,0.0215308534439425,0.0276452533514587,1.8130951864025e-18,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p2,0.0001,0.0536996820456484,0.108805891027952,-0.108705891027952,0.108905891027952,0.998524177850046,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p3,0.0084312258615449,0.00301528354850204,0.00610954479987051,0.00232168106167439,0.0145407706614154,0.00815382448275666,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p4,0.359151450292857,0.0893435911120909,0.181027310931273,0.178124139361583,0.54017876122413,0.000274983257659558,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p6,0.194630633007953,0.0257865132268521,0.0522484387480483,0.142382194259905,0.246879071756002,5.34740949724813e-09,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p8,0.1,0.0138146673965652,0.0279911749581745,0.0720088250418255,0.127991174958174,1.36608574081778e-08,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E1,p9,0.00865980586470984,0.00314307149905216,0.0063684677821411,0.00229133808256874,0.0150282736468509,0.00904646633593812,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553
E2,p1,0.0186458461971265,0.0017603276691843,0.00356676265576283,0.0150790835413637,0.0222126088528893,9.34157663120757e-13,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E2,p2,0.0730528437465661,0.0821105947016949,0.166371868119412,-0.0933190243728462,0.239424711865978,0.379381580402073,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E2,p3,0.00799118328972092,0.00422872881481266,0.00856821845276742,-0.000577035163046507,0.0165594017424883,0.0666476611340324,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E2,p4,0.23215596099434,0.0920347907955828,0.186480199446471,0.0456757615478692,0.418636160440811,0.0160841709295239,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E2,p6,0.159271863024549,0.0387653899281493,0.0785461408988007,0.0807257221257479,0.237818003923349,0.000211525258250714,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E2,p8,0.0766993303929005,0.0192810861783715,0.039067191493631,0.0376321388992695,0.115766521886532,0.000311103594804057,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
