Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA,I_GA
E8,0,0.0110313692900243,0.0369010034133544,5.02958243312733,5.02958243312733,68.0657074507186,68.0657074507186,0,0,0
E8,3,0.0628150924001521,0.0933468031550598,4.21661889545629,4.62913770974181,67.1168176060714,65.839096205935,0.226734182978189,1.21937247860276,0.183273036062334
E8,6,0.216801905706678,0.217361625962769,3.33746508062321,3.78543804552914,64.6402365987893,60.8441391034904,1.47071621720878,4.00309247759494,0.627752402504561
E8,9,0.516964824059556,0.430816930273468,2.30892267937218,2.45994494307412,58.6040846176603,51.4553756780096,4.78479290159836,9.2344534726877,1.57990655333558
E8,12,0.866310837754324,0.676874689516178,1.4132332126923,1.15620698655203,46.8189497841068,38.4004607815608,10.6573620809227,16.4527837237868,3.24773799257554
E8,15,0.983907743284583,0.8474601289822,0.784382991162773,0.405523389594305,28.1026243108448,25.5960560345186,19.4403070075909,23.4960267627769,5.56222765542353
E8,18,0.77409362665123,0.908881912517532,0.301500625991881,0.121712637833876,10.2497755618378,16.0655010729397,29.013193414979,28.7704958509798,8.22087997361498
E8,21,0.639876709445464,0.89657477574502,0.0536012682108963,0.0355123588560024,1.75337814642479,9.97418168998163,34.7492947037278,32.2159824637818,10.9419751542447
E8,24,0.705802096602197,0.848896151733156,0,0.0108290438667185,0.0432368393009974,6.29880551027001,36.6424902152861,34.3789413148197,13.5655765080921
E8,27,0.828321451968813,0.787838178076745,0,0.00356121043105767,0,4.09541556698646,37.204869854467,35.7546828934522,16.0223526820392
E8,30,0.912602683372765,0.723782597836204,0,0.00127593397009893,0,2.75235831677864,37.3443022345585,36.6630067606283,18.2897899794201
