Set,t,w_exp,w_GA,x_exp,x_GA,y_exp,y_GA,z_exp,z_GA,I_GA
E6,0,0.0177119866023229,0.0188762626968396,5.52045686454944,5.52045686454944,41.0028590586077,41.0028590586077,0.0571779895663814,0.0571779895663814,0
E6,3,0.0998263065087431,0.0725965000372614,4.88776040847206,5.28099551777045,40.2817346942902,40.3192297365199,0.401287765276133,0.463342804778208,0.120016381615082
E6,6,0.344136302857158,0.258791636083729,3.96621285563238,4.48174481682092,39.0387943976295,38.0138770223117,1.67663970907475,1.90144972267267,0.564154625844531
E6,9,0.800953964520618,0.736718814839565,2.69066284487811,2.66249888910017,33.8483626121732,31.6204329923718,4.92866322596395,5.87593956181894,1.97355888528284
E6,12,1.34990650536567,1.36315629438359,1.12132426827303,0.821928263397187,23.1795395295281,20.8994281185979,10.6844843399429,12.3863476010934,5.15470936076628
E6,15,1.69672075392727,1.63472384898701,0.205730406152426,0.149307275853173,10.8241020632873,11.465922145127,17.1820182100555,18.0663462811446,9.77108490422026
E6,18,1.58061946266103,1.52927240233421,0,0.0252656181505126,2.94667562470643,6.13572225566267,21.1278541559807,21.3843804217619,14.5793966622502
E6,21,1.14402701796765,1.28320187602424,0,0.00529038793723737,0.346205776685902,3.53847542289523,23.0852933062742,23.1287221454126,18.8111876337588
E6,24,0.864026481822384,1.02741170720408,0,0.00147299181240971,0,2.25546303841288,24.9595557849389,24.087380035789,22.2717298718333
E6,27,0.803901047357274,0.804582907965887,0,0.000535633564623066,0,1.57900748523767,25.61255005239,24.6579993077609,25.0096398415901
E6,30,0.805504095365098,0.622755887995687,0,0.000243744951411808,0,1.19603630801305,25.2189203437734,25.0225401772299,27.1405497722572
