strain,objective,p1,p2,p3,p4,p5_fixed,p6,p7_fixed,p8,p9,p0_fixed,w0,x0_fixed,y0_fixed,z0_fixed,W0_fixed,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC,elapsed_sec
E1,0.074850930713183,0.0245880533977006,0.0001,0.0084312258615449,0.359151450292857,8.24233234113329e-07,0.194630633007953,0.000412587607476158,0.1,0.00865980586470984,1,0.0317681385784072,3.04938862438354,16.6271957089034,0.125032128741263,0,0.994941908937991,0.952096893435102,0.99568548219403,0.99387429544335,0.995801607560158,3.85340357067967,0.124441082195328,0.0604309149237374,2.97691577151333,0.691615802047272,-80.4835779335553,20.0259775
E2,0.0939444971560699,0.0186458461971265,0.0730528437465661,0.00799118328972092,0.23215596099434,8.24233234113329e-07,0.159271863024549,0.000412587607476158,0.0766993303929005,0.00722457047341258,1,0.0259453122835192,3.86211277855056,24.544697590697,0.587521818951858,0,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217,13.7434743
E3,0.109355360282188,0.0200975168950563,0.1,0.00753797299659555,0.199780445310339,8.24233234113329e-07,0.160093014213684,0.000412587607476158,0.0818319059683,0.01,1,0.0189606694912188,3.68882640952688,23.2938968059735,0.147774919632572,0,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267,89.4952416
E4,0.0908723630462757,0.0104574879211525,0.1,0.00270422024722907,0.297083029434542,8.24233234113329e-07,0.186005707609372,0.000412587607476158,0.0950253904587098,0.00135873305005999,1,0.0197624407391462,5.99608098946125,41.0121960654635,0.191761753848805,0,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707,26.548799
E5,0.0778252182037373,0.0106946576301611,0.0769262052200359,0.00329310122263516,0.176345650293264,8.24233234113329e-07,0.138008061759693,0.000412587607476158,0.0685199000683319,1e-06,1,0.0124569489985539,4.50111119781532,42.3244781187944,0.0345520010031608,0,0.99252682714282,0.963387309237346,0.993397530863588,0.98986985103192,0.996079072836259,39.776760734713,0.111291792604059,0.243822771863462,35.2273180947966,4.19432807544887,22.2267677613615,79.9455433
E6,0.0851774408536006,0.00983957851462382,0.0432849833355964,0.003471773982767,0.369478933829507,8.24233234113329e-07,0.129778239971248,0.000412587607476158,0.0719220155942898,1e-06,1,0.0188762626968396,5.52045686454944,41.0028590586077,0.0571779895663814,0,0.990897023200116,0.968329772259149,0.989251286754925,0.987591861845559,0.99442131751197,48.019030796688,0.0982701234546358,0.514690655650114,40.9978578736072,6.4082121439761,30.512608693856,46.1633579
E7,0.228108886158959,0.00894348981115863,0.1,0.00217350341729251,0.260903195949926,8.24233234113329e-07,0.170912747242176,0.000412587607476158,0.0873956849563446,1e-06,1,0.0525658607218403,6.06690085818673,40.0897159761291,0.152947114336492,0,0.982028194924091,0.807145346946131,0.99521936638842,0.974790648644195,0.991057972499644,84.0676827885472,0.249784466260985,0.295717211717438,74.8181236298979,8.70405748067089,55.1537005372376,114.4489457
E8,0.368856588481672,0.00434956629295168,0.1,0.000830502706181878,0.452679154378488,8.24233234113329e-07,0.174722553072364,0.000412587607476158,0.0914338210953247,1e-06,1,0.0369010034133544,5.02958243312733,68.0657074507186,0,0,0.972362220793839,0.828845711301895,0.98160965298871,0.965627299573633,0.965107292045361,401.427470084815,0.205356809959541,0.636038859930194,309.185127773598,91.4009466413277,123.943505041404,48.7335726
E9,0.200040340821394,0.00553319001119691,0.1,0.00196803684327339,0.623405905872535,8.24233234113329e-07,0.101883862919251,0.000412587607476158,0.0518910865561283,1e-06,1,0.0112444151544964,7.1936263074291,68.0797170009536,0,0,0.975062321388061,0.964496100378796,0.972602427805925,0.960955603840554,0.977638158984721,374.561209260417,0.0974157152542196,2.14957336618823,325.277663059858,47.0365571191169,120.89555299194,32.1790712
E10,0.123935666827129,0.00551262663850108,0.1,0.00207225311601269,0.182343189712949,8.24233234113329e-07,0.112285296545071,0.000412587607476158,0.0550013916120062,1e-06,1,0.013753664698851,6.08929428228139,77.9388313549297,0.962472934288609,0,0.979451132264665,0.970934190722623,0.997504908838169,0.970732314724237,0.984844382163966,388.394309776383,0.0742437731635291,0.176950540843568,344.232636519524,43.9104789428519,122.491250553361,192.1593754
